CATEGORY	BIBTEXKEY	author	title	year	title_translation	publisher	address	pages	booktitle	booktitle_translation	editor	journal	volume	number	school	note	url
article	forker2019b	Forker, Diana	Reported speech constructions in Sanzhi Dargwa and their extension to other areas of grammar	2019	NA	NA	NA	171-199	NA	NA	NA	Sprachwissenschaft	NA	NA	NA	NA	NA
unpublished	forkerdraft2020	Forker, Diana	Avar grammar sketch	2020	NA	Oxford University Press	Oxford	NA	Oxford Handbook of Languages of the Caucasus	NA	Polinsky, Maria	NA	NA	NA	NA	To appear	NA
book	forker2020dargwa	Forker, Diana	A grammar of Sanzhi Dargwa	2020	NA	Language Science Press	Berlin	NA	NA	NA	NA	NA	NA	NA	NA	NA	https://langsci-press.org/catalog/book/250
article	friedman1984	Friedman, Victor A.	Status in the Lak verbal system	1984	NA	NA	NA	135--149	NA	NA	NA	Folia Slavica	NA	NA	NA	NA	NA
incollection	friedman2007	Friedman, Victor A.	The expression of speaker subjectivity in Lak (Daghestan)	2007	NA	Peeters	Louvain/Paris/Dudley MA	351--376	'L''Énonciation médiatisée II'	NA	Guentchéva, Zlatka and Landabaru, John	NA	NA	NA	NA	NA	NA
book	gadzhiakhmedov2000	Гаджиахмедов, Нурмагомед Э.	Словоизменительные категории имени и глагола в кумыкском языке	2000	Nominal and verbal inflectional categories in Kumyk	Юпитер	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phdthesis	gadzhieva2007	Гаджиева, Марьям Зубайровна	Фонетические и морфологические особенности тукитинского диалекта каратинского языка	2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Дагестанский государственный педагогический университет	NA	NA
incollection	ganenkov2008	Ганенков, Дмитрий С.	Морфологическая и семантическая характеристика падежей удинского языка	2008	Morphological and semantic characteristics of Udi	Академия	Москва	11--53	Удинский сборник: грамматика, лексика, история языка	Udi. Grammar. Lexicon. History of the language	Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.	NA	NA	NA	NA	NA	NA
article	ganenkovetal2009	Ганенков, Дмитрий С. and Майсак, Тимур А. and Мерданова, Солмаз Р.	Дискурсивная анафора в агульском языке	2009	NA	Институт языкознания РАН	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	gimbatov2006	Гимбатов, М. М.	Аварско-русский словарь	2006	Avar-Russian dictionary	ДНЦ РАН	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	gudava1962	Gudava, Togo E.	Botlixuri ena	1962	The Botlikh language	Mecniereba	Tbilisi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	haspelmath1993	Haspelmath, Martin	A grammar of Lezgian	1993	NA	Mouton de Gruyter	Berlin/New York	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	haspelmath1996	Haspelmath, Martin	Complement clauses	1996	NA	Lincom Europa	Munich/Newcastle	174--196	Godoberi	NA	Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander	NA	NA	NA	NA	NA	NA
book	hewitt2005	Hewitt, George	'Georgian. A Learner''s Grammar'	2005	NA	Routledge	London/New York	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	holiskygagua1994	Holisky, Dee Ann and Gagua, Rusudan	Tsova-Tush (Batsbi)	1994	NA	Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2	NA	Smeets, Riek	NA	NA	NA	NA	NA	NA
book	ibragimov2004	Ибрагимов, Гарун Х.	Рутульский язык	2004	Rutul	Народы Дагестана	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	jakovlev1960	Яковлев, Николай Ф.	Морфология чеченского языка	1960	Chechen morphology	Издательство Академии наук СССР	Грозный	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	johanson2018	Johanson, Lars	Turkic indirectivity	2018	NA	Oxford University Press	Oxford	510--524	The Oxford Handbook of Evidentiality	NA	Aikhenvald, Alexandra Y.	NA	NA	NA	NA	NA	NA
misc	kartozia2018	Kartozia, Inga	Gender Systems in Nakh-Daghestanian languages	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Database	https://kartozia.github.io/Gender-Systems-Database/, accessed: 2020-02-24.
unpublished	kayeetaldraft2020	Kaye, Stepen and Martynova, Aleksandra, and Moroz, George and Rochant, Neige and Verhees, Samira and Zakirova, Aigul	A sketch of Andi (Zilo dialect)	2020	NA	De Gruyter Mouton	Berlin/New York	CHECK	Handbook of Caucasian Languages. Vol. 2. Nakh-Daghestanian	NA	Koryakov, Yury and Maisak, Timur	NA	NA	NA	NA	NA	NA
book	kazenin2013	Казенин, Константин И.	Синтаксис современного лакского языка	2013	Syntax of contemporary Lak	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	khajdakov1962	Хайдаков, Саид М.	Лакско-русский словарь	1962	NA	Государственное издательство иностранных и национальных словарей	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phdthesis	khalilova2009	Khalilova, Zaira	A grammar of Khwarshi	2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	University of Leiden	NA	NA
article	khalilova2011	Khalilova, Zaira	Evidentiality in Tsezic languages	2011	NA	NA	NA	30--48	NA	NA	NA	Linguistic Discovery	NA	NA	NA	NA	NA
book	kibrik1977	Кибрик, Александр Е.	Опыт структурного описания арчинского языка. Том II. Таксономическая грамматика	1977	Structural description of Archi. Volume II. Taxonomic grammar	Издательство Академии наук СССР	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	kibrik1977dynamic	Кибрик, Александр Е.	Опыт структурного описания арчинского языка. Том III. Динамическая грамматика	1977	Structural description of Archi. Volume III. Dynamic grammar	Издательство Академии наук СССР	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	kibrik1977dict	Кибрик, Александр Е.	Арчинский язык. Тексты и словари	1977	Archi. Texts and dictionaries	Издательство Академии наук СССР	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	kibrik1985	Kibrik, Andrej A.	Absentiv-aorist und resultativ in der andischen Sprache	1985	NA	Friedrich Schiller Universität	Jena	55--66	Sprachen Europas und Asiens	NA	Fähnrich Heinz	NA	NA	NA	NA	NA	NA
book	kibrik1999	Кибрик, Александр Е.	Элементы цахурского языка в типологическом освещении	1999	Elements of Tsakhur grammar in a typological perspective	Москва	Наследие	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	kibrik2001	Кибрик, Александр Е. and Казенин, Константин И. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	Багвалинский язык. Грамматика, тексты, словари	2001	The Bagvalal language. Grammar, texts, dictionary	Наследие	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	kibriketal1972	Кибрик, Александр Е. and Кодзасов, Сандро В. and Оловянникова, Ирина П.	Фрагменты грамматики хиналугского языка	1972	Fragments of Khinalug grammar	Издательство Академии наук СССР	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	kibriketal1996	Kibrik, Alexandr and Tatevosov, Sergej and Eulenberg, Alexander	Godoberi	1996	NA	Lincom Europa	Munich/Newcastle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	kibrikkodzasov1990	Кибрик, Александр Е. and Кодзасов, Сандро В	Сопоставительное изучение дагестанских языков. Имя. Фонетика	1990	NA	Издательство Академии наук СССР	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	kozintseva2000	Kozintseva, Natalia A.	Perfect forms as a means of expressing evidentiality in Modern Eastern Armenian	2000	NA	Mouton de Gruyter	Berlin/New York	401--418	Evidentials. Turkic, Iranian and neighbouring languages	NA	Johanson, Lars and Utas, Bo	NA	NA	NA	NA	NA	NA
book	madieva1965	Мадиева, Гюльшахан И.	Грамматический очерк бежтинского языка	1965	Grammatical profile of Bezhta	ДГУ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedbekova1967	Магомедбекова, Загидат М.	Ахвахский язык	1967	Akhvakh	Мецниереба	Тбилиси	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedbekova1971	Магомедбекова, Загидат М.	Каратинский язык	1971	NA	Мецниереба	Тбилиси	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedova1999	Магомедова, Патимат Т.	Чамалинско-русский словарь	1999	Chamalal-Russian dictionary	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedova2003	Магомедова, Патимат Т.	Тиндинско-русский словарь	2003	Tindi-Russian dictionary	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedova2004	Магомедова, Патимат Т.	Багвалинско-русский словарь	2004	Bagvalal-Russian dictionary	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedova2012	Магомедова, Патимат Т.	Тиндинский язык	2012	The Tindi language	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedovaabdulaeva2007	Магомедова, Патимат Т. and Абдулаева, Индира А.	Ахвахско-русский словарь	2007	Akhvakh-Russian dictionary	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedovaxalidova2001	Магомедова, Патимат Т. and Халидова, Рашидат Ш.	Каратинско-русский словарь	2001	Karata-Russian dictionary	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magometov1963	Магометов, Александр А.	Кубачинский язык	1963	Kubachi	Академия Наук Грузинской ССР	Тбилиси	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magometov1965	Магометов, Александр А.	Табасаранский язык: исследование и тексты	1965	The Tabasaran lannguage: research and texts	Мецниереба	Тбилиси	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magometov1970	Магометов, Александр А.	Агульский язык	1970	Aghul	Мецниереба	Тбилиси	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magometov1982	Магометов, А. А.	Мегебский диалект даргинского языка: исследование и тексты	1982	Mehweb dialect of Dargwa: research and texts	Мецниереба	Тбилиси	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	gukasyan1974	Гукасян, Ворошил	Удинско-азербайджанско-русский словарь	1974	Udi-Azeri-Russian dictionary	Элм	Баку	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	maisak2016	Майсак, Тимур А.	Перфект и аорист в ниджском диалекте удинского языка	2016	Perfect and aorist in the Nizh dialect of Udi	Наука	Санкт-Петербург	315--378	Типология перфекта	NA	Майсак, Тимур А. and Плунгян, Владимир А. and Семёнова, Ксения П.	NA	NA	NA	NA	NA	NA
unpublished	maisak2016andi	Майсак, Тимур А.	Глагольная система рикванинского говора андийского языка: формообразование	2016	The verbal system of the Rikvani dialect of Andi: inflection	Handout	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
unpublished	maisak2017	Maisak, Timur	Tense and aspect among the factors conditioning the distribution of quotatives: data from Andi	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	'12th Conference of the Association for Linguistic Typology (ALT) Workshop ``Reported speech as a syntactic domain'''' Canberra, 15 December 2017. Hand-out'	NA
incollection	maisak2018	Maisak, Timur	The Aorist/Perfect distinction in Nizh Udi	2018	NA	Brill	Leiden	120--165	The semantics of verbal categories in Nakh-Daghestanian languages	NA	Forker, Diana and Maisak, Timur	NA	NA	NA	NA	NA	NA
incollection	maisakchumakina2001	Майсак, Тимур А. and Чумакина, Марина Э.	Дискурсивные частицы	2001	Discursive particles	Наследие	Москва	702--723	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA
incollection	maisakganenkov2016	Maisak, Timur and Dmitry Ganenkov	Aghul	2016	NA	De Gruyter Mouton	Berlin/Boston	3579–3594	Word-Formation	NA	NA	NA	NA	NA	NA	NA	NA
article	maisakmerdanova2002	Майсак, Тимур А. and Мерданова, Солмаз Р.	Категория эвиденциальности в агульском языке	2002	The category of evidentiality in Agul	NA	NA	102--112	NA	NA	NA	Кавказоведение	NA	NA	NA	NA	NA
book	maisakmerdanova2002b	Майсак, Тимур А. and Мерданова, Солмаз Р.	Глагольная система хпюкского говора агульского языка	2002	Verb system of Huppuk Agul	Manuscript	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.lingvarium.org/maisak/publ/Maisak_Merdanova-2002-verb.pdf
incollection	maisakmerdanova2016	Майсак, Тимур А. and Мерданова, Солмаз Р.	Перфект и смежные значения в агульском языке	2016	The perfect and adjacent meanings in Agul	Наука	Санкт-Петербург	379--422	Типология перфекта	Typology of the perfect	Майсак, Тимур А. and Плунгян, Владимир А. and Семёнова, Ксения П.	NA	NA	NA	NA	NA	NA
article	maisaktatevosov1998	Майсак, Тимур А. and Татевосов, Сергей Г.	Кодирование эпистемического статуса средствами морфосинтаксиса	1998	Encoding of epistemic status with morphosyntactic means	NA	NA	60--88	NA	NA	NA	Вопросы языкознания	NA	NA	NA	NA	NA
incollection	maisaktatevosov2001	Майсак, Тимур А. and Татевосов, Сергей Г.	Эвиденциальность	2001	Evidentiality	Наследие	Москва	293--318	Багвалинский язык. Грамматика, тексты, словари	The Bagvalal language. Grammar, texts, dictionaries	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA
