id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
773	Danukh	Данух	42,84282	46,6275	Avar	Avar	East Caucasian		Avar									Danukh	avar1256	#009999	#009999	07.02.2021
1526	Khalimbekaul	Халимбекаул	42,8447	47,1406	Kumyk	Kipchak	Turkic		Kumyk	Buynaksk	Буйнакский							Khalimbekaul	kumy1244	#a6a6a6	#666666	07.02.2021
774	Vyardy	Вярды	42,845041	45,690766	Chechen	Nakh	East Caucasian		Chechen									Vyardy	chec1245	#996600	#996633	07.02.2021
775	Zengali	Зенгали	42,845833	45,272222	Chechen	Nakh	East Caucasian		Chechen	Galanchozh	Галанчожский							Zengali	chec1245	#996600	#996633	07.02.2021
1527	Nizhnie Ishkarty	Нижние Ишкарты	42,84698	46,97147	Kumyk	Kipchak	Turkic		Kumyk									Nizhnie Ishkarty	kumy1244	#a6a6a6	#666666	07.02.2021
776	Khay-khecaguni	Хай-хецагуни	42,847034	45,900792	Chechen	Nakh	East Caucasian		Chechen									Khay-khecaguni	chec1245	#996600	#996633	07.02.2021
453	Nizhniy Karanay	Нижний Каранай	42,84729	46,940488	Avar	Avar	East Caucasian		Avar									Nizhniy Karanay	avar1256	#009999	#009999	07.02.2021
777	Bicy	Бицы	42,847648	45,277371	Chechen	Nakh	East Caucasian		Chechen									Bicy	chec1245	#996600	#996633	07.02.2021
778	Kerety	Кереты	42,84784	45,28642	Chechen	Nakh	East Caucasian		Chechen									Kerety	chec1245	#996600	#996633	07.02.2021
1528	Verkhnie Ishkarty	Верхние Ишкарты	42,84907	46,95309	Kumyk	Kipchak	Turkic		Kumyk									Verkhnie Ishkarty	kumy1244	#a6a6a6	#666666	07.02.2021
779	Ryadukhoy	Рядухой	42,850278	45,649444	Chechen	Nakh	East Caucasian		Chechen									Ryadukhoy	chec1245	#996600	#996633	07.02.2021
780	Yukerch-keloy	Юкерч-келой	42,851387	45,734965	Chechen	Nakh	East Caucasian		Chechen									Yukerch-keloy	chec1245	#996600	#996633	07.02.2021
781	Leshkoroy	Лешкорой	42,8525	45,876389	Chechen	Nakh	East Caucasian		Chechen									Leshkoroy	chec1245	#996600	#996633	07.02.2021
782	Peshkhoy	Пешхой	42,853158	45,480087	Chechen	Nakh	East Caucasian		Chechen									Peshkhoy	chec1245	#996600	#996633	07.02.2021
783	Gorgachi	Горгачи	42,855068	45,666837	Chechen	Nakh	East Caucasian		Chechen									Gorgachi	chec1245	#996600	#996633	07.02.2021
784	Gush-kert	Гуш-керт	42,85526	45,685567	Chechen	Nakh	East Caucasian		Chechen									Gush-kert	chec1245	#996600	#996633	07.02.2021
785	Pamyatoy	Памятой	42,856111	45,693889	Chechen	Nakh	East Caucasian		Chechen									Pamyatoy	chec1245	#996600	#996633	07.02.2021
786	Akka	Акка	42,856944	45,240278	Chechen	Nakh	East Caucasian		Chechen									Akka	chec1245	#996600	#996633	07.02.2021
787	Chuush	Чууш	42,85702	45,3187	Chechen	Nakh	East Caucasian		Chechen									Chuush	chec1245	#996600	#996633	07.02.2021
788	Vovga	Вовга	42,857222	45,238333	Chechen	Nakh	East Caucasian		Chechen									Vovga	chec1245	#996600	#996633	07.02.2021
789	Bekum-kale	Бекум-кале	42,857429	45,714459	Chechen	Nakh	East Caucasian		Chechen									Bekum-kale	chec1245	#996600	#996633	07.02.2021
790	Machi	Мачи	42,86143	45,30445	Chechen	Nakh	East Caucasian		Chechen									Machi	chec1245	#996600	#996633	07.02.2021
791	Chikondi-pade	Чиконди-паде	42,86193	45,26158	Chechen	Nakh	East Caucasian		Chechen									Chikondi-pade	chec1245	#996600	#996633	07.02.2021
792	Khiloy	Хилой	42,862804	45,41693	Chechen	Nakh	East Caucasian		Chechen	Galanchozh	Галанчожский							Khiloy	chec1245	#996600	#996633	07.02.2021
454	Artlukh	Артлух	42,8631	46,6683	Avar	Avar	East Caucasian		Avar									Artlukh	avar1256	#009999	#009999	07.02.2021
793	Ami	Ами	42,869444	45,305556	Chechen	Nakh	East Caucasian		Chechen									Ami	chec1245	#996600	#996633	07.02.2021
794	Vysokogornoe	Высокогорное	42,871377	45,617187	Chechen	Nakh	East Caucasian		Chechen									Vysokogornoe	chec1245	#996600	#996633	07.02.2021
795	Shatoy	Шатой	42,871667	45,699167	Chechen	Nakh	East Caucasian		Chechen	Itum-Kali	Итум-калинский	Shatoy	Шатойский					Shatoy	chec1245	#996600	#996633	07.02.2021
796	Kirbit	Кирбит	42,87523	45,31163	Chechen	Nakh	East Caucasian		Chechen									Kirbit	chec1245	#996600	#996633	07.02.2021
797	Irzitkale	Ирзиткале	42,8764	45,25482	Chechen	Nakh	East Caucasian		Chechen									Irzitkale	chec1245	#996600	#996633	07.02.2021
798	Khaybakh	Хайбах	42,877222	45,357778	Chechen	Nakh	East Caucasian		Chechen	Galanchozh	Галанчожский							Khaybakh	chec1245	#996600	#996633	07.02.2021
799	Khakkoy	Хаккой	42,881667	45,674722	Chechen	Nakh	East Caucasian		Chechen									Khakkoy	chec1245	#996600	#996633	07.02.2021
800	Ityrkale	Итыркале	42,88168	45,25964	Chechen	Nakh	East Caucasian		Chechen									Ityrkale	chec1245	#996600	#996633	07.02.2021
801	Kirbichu	Кирбичу	42,88328	45,32175	Chechen	Nakh	East Caucasian		Chechen									Kirbichu	chec1245	#996600	#996633	07.02.2021
802	Galanchozh	Галанчож	42,883333	45,3	Chechen	Nakh	East Caucasian		Chechen	Galanchozh	Галанчожский							Galanchozh	chec1245	#996600	#996633	07.02.2021
803	Mocaroy	Моцарой	42,889705	45,370211	Chechen	Nakh	East Caucasian		Chechen	Galanchozh	Галанчожский							Mocaroy	chec1245	#996600	#996633	07.02.2021
804	Syuzhi	Сюжи	42,890278	45,639722	Chechen	Nakh	East Caucasian		Chechen	Itum-Kali	Итум-калинский	Shatoy	Шатойский					Syuzhi	chec1245	#996600	#996633	07.02.2021
805	Charmakhoy	Чармахой	42,891111	45,390833	Chechen	Nakh	East Caucasian		Chechen									Charmakhoy	chec1245	#996600	#996633	07.02.2021
1529	Takalay	Такалай	42,89677	47,1644	Kumyk	Kipchak	Turkic		Kumyk									Takalay	kumy1244	#a6a6a6	#666666	07.02.2021
806	Keychu	Кейчу	42,898333	45,443333	Chechen	Nakh	East Caucasian		Chechen									Keychu	chec1245	#996600	#996633	07.02.2021
807	Amki	Амки	42,898611	45,2875	Chechen	Nakh	East Caucasian		Chechen									Amki	chec1245	#996600	#996633	07.02.2021
808	'Bol''shie varandy'	Большие варанды	42,901111	45,684167	Chechen	Nakh	East Caucasian		Chechen									'Bol''shie varandy'	chec1245	#996600	#996633	07.02.2021
809	Kharachoy	Харачой	42,904167	46,138611	Chechen	Nakh	East Caucasian		Chechen	Lowland	Плоскостной	Ichkerian	Ичкерийский					Kharachoy	chec1245	#996600	#996633	07.02.2021
810	'Tol'''	Толь	42,911111	45,284722	Chechen	Nakh	East Caucasian		Chechen									'Tol'''	chec1245	#996600	#996633	07.02.2021
811	Kharsenoy	Харсеной	42,914167	45,549722	Chechen	Nakh	East Caucasian		Chechen									Kharsenoy	chec1245	#996600	#996633	07.02.2021
456	Imanaliroso	Иманалиросо	42,91429	46,76761	Avar	Avar	East Caucasian		Avar									Imanaliroso	avar1256	#009999	#009999	07.02.2021
812	Mushechu	Мушечу	42,914444	45,408889	Chechen	Nakh	East Caucasian		Chechen									Mushechu	chec1245	#996600	#996633	07.02.2021
813	Basary yalkhora	Басары ялхора	42,915278	45,277778	Chechen	Nakh	East Caucasian		Chechen									Basary yalkhora	chec1245	#996600	#996633	07.02.2021
814	Yalkhoroy	Ялхорой	42,916667	45,283333	Chechen	Nakh	East Caucasian		Chechen									Yalkhoroy	chec1245	#996600	#996633	07.02.2021
815	Kel-baza	Кел-база	42,922338	45,455311	Chechen	Nakh	East Caucasian		Chechen									Kel-baza	chec1245	#996600	#996633	07.02.2021
457	Akhsu	Ахсу	42,92342	46,694116	Avar	Avar	East Caucasian		Avar									Akhsu	avar1256	#009999	#009999	07.02.2021
816	Duc-khutor	Дуц-хутор	42,928047	45,850196	Chechen	Nakh	East Caucasian		Chechen									Duc-khutor	chec1245	#996600	#996633	07.02.2021
817	Khoch-koch	Хоч-коч	42,92909	45,42358	Chechen	Nakh	East Caucasian		Chechen									Khoch-koch	chec1245	#996600	#996633	07.02.2021
818	Dzhenchu	Дженчу	42,929167	45,305556	Chechen	Nakh	East Caucasian		Chechen									Dzhenchu	chec1245	#996600	#996633	07.02.2021
819	'Kel''-aul'	Кель-аул	42,936872	45,871524	Chechen	Nakh	East Caucasian		Chechen									'Kel''-aul'	chec1245	#996600	#996633	07.02.2021
820	Malyy kharsenoy	Малый харсеной	42,939051	45,5161	Chechen	Nakh	East Caucasian		Chechen									Malyy kharsenoy	chec1245	#996600	#996633	07.02.2021
821	Yakhkachara	Яхкачара	42,939444	45,430556	Chechen	Nakh	East Caucasian		Chechen									Yakhkachara	chec1245	#996600	#996633	07.02.2021
822	Sakilinzhili	Сакинжили	42,94052	45,39714	Chechen	Nakh	East Caucasian		Chechen									Sakilinzhili	chec1245	#996600	#996633	07.02.2021
823	Zarkha	Зарха	42,940751	45,42166	Chechen	Nakh	East Caucasian		Chechen	Galanchozh	Галанчожский							Zarkha	chec1245	#996600	#996633	07.02.2021
824	'Sel''mentauzen'	Сельментаузен	42,940833	45,863056	Chechen	Nakh	East Caucasian		Chechen	Lowland	Плоскостной	Ichkerian	Ичкерийский					'Sel''mentauzen'	chec1245	#996600	#996633	07.02.2021
